Morpheme,Location,Example,Length,Frequency,Common
spad,prefix,epispadias,4,47,False
spa,prefix,antispasmodic,3,636,True
sper,prefix,despair,4,161,False
sper,embedded,disperse,4,161,False
spic,prefix,spica,4,74,False
spin,prefix,infraspinate,4,171,False
spir,prefix,aspire,4,174,False
step,prefix,stepbrother,4,75,False
stol,prefix,apostle,4,74,False
sten,prefix,stenography,4,178,False
ster,suffix,adjuster,4,1025,True
stin,prefix,destination,4,425,True
stom,prefix,anastomosis,4,116,False
stor,prefix,biostrome,4,251,True
stud,prefix,étude,4,63,False
styl,prefix,amphiprostyle,4,150,False
suc,prefix,succeed,3,186,False
sud,prefix,exudate,3,60,False
sui,prefix,sui generis,3,134,False
sult,suffix,insult,4,52,False
summ,prefix,consummate,4,86,False
sur,prefix,surreal,3,621,True
syc,prefix,sycomancy,3,56,False
sy,suffix,epilepsy,2,1055,True
tach,prefix,tachometer,4,95,False
tact,prefix,tactile,4,60,False
tain,suffix,detain,4,170,False
tal,prefix,talus,3,1115,True
taph,suffix,bibliotaph,4,42,False
tard,prefix,retard,4,75,False
tars,prefix,metatarsus,4,84,False
tast,prefix,tasteless,4,80,False
tear,prefix,tearful,4,70,False
tect,suffix,protection,4,57,False
teen,suffix,canteen,4,110,False
tenu,prefix,attenuate,4,43,False
tep,prefix,subtepid,3,136,False
tera,prefix,terabyte,4,200,True
tere,prefix,synteresis,4,418,True
tern,prefix,ternary,4,215,True
terr,prefix,inter,4,115,False
test,prefix,attest,4,272,True
tetr,prefix,diatessaron,4,68,False
th,suffix,strength,2,5477,True
thea,prefix,amphitheatre,4,89,False
thel,prefix,athelia,4,46,False
ther,prefix,therianthropy,4,594,True
thym,prefix,dysthymia,4,43,False
tic,suffix,aquatic,3,2385,True
tid,prefix,tide,3,246,True
tim,prefix,timid,3,465,True
tion,suffix,cancellation,4,1507,True
tire,prefix,attire,4,59,False
tive,suffix,exhaustive,4,579,True
tom,prefix,anatomy,3,556,True
tone,prefix,atonia,4,399,True
ton,embedded,astonish,3,1136,True
tort,prefix,extort,4,91,False
tot,prefix,subtotal,3,238,True
town,prefix,downtown,4,82,False
tox,prefix,anatoxin,3,112,False
trag,prefix,tragedy,4,60,False
tree,prefix,tree-living,4,109,False
trem,prefix,tremor,4,74,False
trib,embedded,tribal,4,63,False
tri,prefix,triangle,3,1903,True
tric,prefix,intricate,4,384,True
trin,prefix,trinary,4,157,False
trix,suffix,adjutrix,4,58,False
tron,suffix,antineutron,4,200,True
trop,prefix,contrive,4,240,True
truc,prefix,truculent,4,87,False
tum,prefix,detumescence,3,291,True
tun,embedded,stunning,3,238,True
tude,suffix,gratitude,4,89,False
turb,prefix,disturb,4,69,False
tus,embedded,contusion,3,233,True
tut,prefix,tutorial,3,124,False
twi,prefix,twibill,3,271,True
typ,prefix,allotype,3,296,True
ty,suffix,poverty,2,2162,True
uate,suffix,accentuate,4,115,False
uber,prefix,exuberance,4,73,False
ual,suffix,casual,3,359,True
uble,suffix,soluble,4,61,False
ula,suffix,acicula,3,1064,True
ulus,suffix,calculus,4,58,False
ul,prefix,Ulotrichi,2,5401,True
um,suffix,curriculum,2,4381,True
umbr,prefix,adumbral,4,68,False
unc,prefix,adunc,3,958,True
unci,prefix,inch,4,86,False
und,prefix,abound,3,1398,True
uni,prefix,adunation,3,461,True
uous,suffix,ambiguous,4,56,False
up,prefix,upgrade,2,2335,True
uran,prefix,uraninite,4,111,False
urb,prefix,conurbation,3,233,True
ure,suffix,culture,3,1228,True
urg,prefix,urgency,3,280,True
uric,suffix,aciduric,4,47,False
uro,prefix,uropod,3,277,True
urs,prefix,Ursa Major,3,633,True
ur,prefix,antidiuretic,2,6800,True
uter,prefix,uterine,4,143,False
ute,suffix,absolute,3,611,True
us,suffix,animus,2,6423,True
uv,prefix,uvea,2,238,True
vac,prefix,evacuate,3,115,False
vag,prefix,extravaganza,3,138,False
val,prefix,ambivalence,3,478,True
van,prefix,evanescent,3,277,True
vap,prefix,evaporate,3,79,False
vari,prefix,bivariate,4,142,False
vas,prefix,vas_deferens,3,194,False
vate,suffix,activate,4,129,False
vel,prefix,revelation,3,629,True
veng,prefix,avenger,4,41,False
vend,prefix,vend,4,49,False
vent,prefix,ventilation,4,187,False
verb,prefix,verbal,4,166,False
verd,prefix,verdant,4,93,False
verm,prefix,vermiform,4,98,False
vern,prefix,vernal,4,76,False
ver,prefix,aver,3,2768,True
vest,prefix,divest,4,126,False
ves,prefix,,3,720,True
vet,prefix,veto,3,189,False
vice,prefix,vice-president,4,47,False
vict,suffix,victim,4,59,False
vic,prefix,vicar,3,219,True
vig,embedded,,3,67,False
vill,prefix,intervillous,4,99,False
vil,prefix,revile,3,265,True
vin,prefix,vinaceous,3,584,True
vir,prefix,retroviral,3,243,True
vir,embedded,virile,3,243,True
vis,embedded,visionary,3,449,True
vita,prefix,vital,4,85,False
viti,prefix,vice,4,54,False
vi,prefix,deviate,2,3206,True
voc,prefix,advocacy,3,134,False
vol,prefix,benevolence,3,303,True
vour,suffix,devour,4,62,False
vulg,prefix,divulge,4,41,False
ware,suffix,agateware,4,157,False
war,prefix,war-ridden,3,851,True
wast,prefix,body_waste,4,64,False
ways,suffix,always,4,161,False
well,prefix,well-adjusted,4,153,False
west,prefix,westbound,4,55,False
wind,prefix,windblown,4,204,True
wise,suffix,otherwise,4,111,False
with,prefix,withstand,4,63,False
wool,prefix,woolen,4,68,False
word,prefix,word-blind,4,122,False
work,suffix,artwork,4,463,True
xe,prefix,arthroxesis,2,930,True
xen,prefix,axenic,3,80,False
xer,prefix,elixir,3,137,False
xyl,prefix,metaxylem,3,94,False
yte,suffix,acanthocyte,3,215,True
ze,prefix,eczema,2,3133,True
zel,prefix,zeal,3,93,False
zon,prefix,phylozone,3,181,False
zo,prefix,anthrozoology,2,892,True
zyg,prefix,azygous,3,58,False
zym,prefix,alloenzyme,3,75,False
